,time,mu_real,mu_imag
945,0.189,-0.267058649864,-0.000938057254769
946,0.1892,-0.267058772935,-0.000924487983737
947,0.1894,-0.267058899157,-0.000910987484152
948,0.1896,-0.267059028395,-0.000897556238263
949,0.1898,-0.267059160659,-0.000884194688222
950,0.19,-0.267059295902,-0.000870903114517
951,0.1902,-0.267059434109,-0.000857682162099
952,0.1904,-0.267059575321,-0.000844531990144
953,0.1906,-0.26705971938,-0.000831453162381
954,0.1908,-0.267059866525,-0.000818446245894
955,0.191,-0.267060016494,-0.000805511580768
956,0.1912,-0.267060169474,-0.000792649459404
957,0.1914,-0.267060325101,-0.00077986034618
958,0.1916,-0.267060483649,-0.000767144688818
959,0.1918,-0.267060645038,-0.000754503014091
960,0.192,-0.267060809243,-0.000741935520907
961,0.1922,-0.267060976239,-0.000729442704411
962,0.1924,-0.267061146007,-0.000717025100476
963,0.1926,-0.267061318348,-0.000704682955312
964,0.1928,-0.267061493454,-0.000692416744685
965,0.193,-0.267061671265,-0.000680226871553
966,0.1932,-0.267061851677,-0.000668113757251
967,0.1934,-0.267062034778,-0.000656077744565
968,0.1936,-0.26706222033,-0.000644119204646
969,0.1938,-0.267062408522,-0.000632238628432
970,0.194,-0.267062599351,-0.000620436290614
971,0.1942,-0.267062792806,-0.00060871268127
972,0.1944,-0.267062988724,-0.000597068076791
973,0.1946,-0.267063187176,-0.000585502942596
974,0.1948,-0.267063388127,-0.000574017550605
975,0.195,-0.267063591367,-0.000562612327827
976,0.1952,-0.267063797093,-0.000551287637644
977,0.1954,-0.26706400523,-0.000540043834898
978,0.1956,-0.267064215622,-0.000528881340391
979,0.1958,-0.267064428567,-0.000517800465532
980,0.196,-0.267064643652,-0.000506801553041
981,0.1962,-0.267064860922,-0.000495885121456
982,0.1964,-0.267065080522,-0.000485051324126
983,0.1966,-0.267065302351,-0.000474300546045
984,0.1968,-0.267065526438,-0.000463633360212
985,0.197,-0.267065752768,-0.000453049884033
986,0.1972,-0.267065981236,-0.000442550554399
987,0.1974,-0.267066211788,-0.000432135685357
988,0.1976,-0.267066444504,-0.00042180549791
989,0.1978,-0.267066679154,-0.000411560516335
990,0.198,-0.267066915878,-0.000401401114763
991,0.1982,-0.267067154788,-0.000391327194264
992,0.1984,-0.267067395706,-0.000381339576513
993,0.1986,-0.267067638735,-0.000371438430161
994,0.1988,-0.267067883555,-0.000361623983932
995,0.199,-0.267068130502,-0.000351896480834
996,0.1992,-0.267068379337,-0.000342256466965
997,0.1994,-0.267068630093,-0.000332704073176
998,0.1996,-0.26706888267,-0.000323239687071
999,0.1998,-0.267069137067,-0.000313863797136
1000,0.2,-0.267069393341,-0.000304576436333
